# Undirected graph: ../../data/output/amazon.ungraph.txt
# Amazon
# Nodes: 228 Edges: 2112
# FromNodeId	ToNodeId
瑞棟 劉一舟
瑞棟 張康年
瑞棟 和察博
姚必達 晦聰大師
殷錦 許雪亭
殷錦 吳三桂
罕帖摩 查伊璜
罕帖摩 羅剎國總督
罕帖摩 蘇菲亞
罕帖摩 葛爾丹
方怡 沐劍屏
方怡 小桂子
方怡 瑞棟
方怡 吳三桂
方怡 吳應熊
方怡 康熙
方怡 劉一舟
方怡 白寒松
方怡 沐劍聲
方怡 柳大洪
方怡 明珠
方怡 柳燕
方怡 徐天川
方怡 宋三
方怡 盧一峰
方怡 小玄子
方怡 茅十八
方怡 吳立身
方怡 敖彪
方怡 鰲拜
方怡 章老三
方怡 雙兒
方怡 胖頭陀
方怡 陸高軒
方怡 張淡月
方怡 無根道人
方怡 殷錦
方怡 阿珂
方怡 施琅
方怡 雲素梅
方怡 建寧公主
方怡 瘦頭陀
方怡 許雪亭
方怡 額圖
方怡 索額圖
方怡 蘇菲亞
方怡 曾柔
方怡 李力世
方怡 錢老本
方怡 巴朗星
方怡 司徒伯雷
方怡 司徒鶴
方怡 阿琪
方怡 毛東珠
方怡 風際中
方怡 鄭克爽
方怡 陳近南
九難 李自成
九難 蘇菲亞
九難 羅剎國總督
九難 阿琪
九難 葛爾丹
勒爾錦 莫洛
額圖 康親王
額圖 索額圖
額圖 茅十八
額圖 明珠
額圖 吳三桂
額圖 吳應熊
額圖 瑞棟
額圖 燦邴珠
額圖 蘇菲亞
額圖 米思翰
額圖 杜立德
額圖 圖海
額圖 巴泰
額圖 李蔚
額圖 林興珠
額圖 洪朝
額圖 何佑
額圖 薩布素
額圖 朋春
額圖 巴海
額圖 李雷
額圖 勒德洪
額圖 馮溥
額圖 王熙
額圖 黃機
額圖 吳正治
額圖 宗德宜
額圖 郎坦
額圖 圖爾布青
額圖 佟國綱
額圖 馬喇
額圖 阿爾尼
額圖 馬齊
小玄子 小桂子
小玄子 茅十八
小玄子 老吳
小玄子 平威
小玄子 溫有道
小玄子 溫有方
小玄子 鰲拜
小玄子 澄光
小玄子 陶紅英
小玄子 行癡
小玄子 澄通
小玄子 九難
小玄子 額圖
小玄子 索額圖
小玄子 吳三桂
小玄子 葛爾丹
小玄子 張勇
小玄子 歸鐘
小玄子 歸二娘
小玄子 王進寶
小玄子 孫思克
小玄子 趙良棟
小玄子 歸辛樹
徐天川 白寒楓
徐天川 樊綱
徐天川 白寒松
徐天川 蘇岡
徐天川 武通
徐天川 盧一峰
徐天川 姚春
徐天川 高彥超
